"teamIDBR","name","franchID"
"ATL","Atlanta Braves","ATL"
"BAL","Baltimore Orioles","BAL"
"BOS","Boston Red Sox","BOS"
"CAL","California Angels","ANA"
"CHW","Chicago White Sox","CHW"
"CHC","Chicago Cubs","CHC"
"CIN","Cincinnati Reds","CIN"
"CLE","Cleveland Indians","CLE"
"DET","Detroit Tigers","DET"
"HOU","Houston Astros","HOU"
"KCR","Kansas City Royals","KCR"
"LAD","Los Angeles Dodgers","LAD"
"MIN","Minnesota Twins","MIN"
"MIL","Milwaukee Brewers","MIL"
"MON","Montreal Expos","WSN"
"NYY","New York Yankees","NYY"
"NYM","New York Mets","NYM"
"OAK","Oakland Athletics","OAK"
"PHI","Philadelphia Phillies","PHI"
"PIT","Pittsburgh Pirates","PIT"
"SDP","San Diego Padres","SDP"
"SFG","San Francisco Giants","SFG"
"STL","St. Louis Cardinals","STL"
"TEX","Texas Rangers","TEX"
"SEA","Seattle Mariners","SEA"
"TOR","Toronto Blue Jays","TOR"
"COL","Colorado Rockies","COL"
"FLA","Florida Marlins","FLA"
"ANA","Anaheim Angels","ANA"
"ARI","Arizona Diamondbacks","ARI"
"TBD","Tampa Bay Devil Rays","TBD"
"LAA","Los Angeles Angels of Anaheim","ANA"
"WSN","Washington Nationals","WSN"
"TBR","Tampa Bay Rays","TBD"
"MIA","Miami Marlins","FLA"
"LAA","Los Angeles Angels","ANA"
